الرقم,اسم الشركة,الهاتف,الإيميل,الموقع,العنوان,القطاع,رقم الصفحة,تاريخ الاستخراج
1,الدلتا للإستيراد والتصدير,,eldeltams@gmail.com,	www.eldeltams.com,شارع التحرير - أبو جنشو - إبشواي  						محافظة الفيوم,الأثاث,1,2025-07-22T04:26:15.446510
2,السعداوي للإستيراد والتصدير,0846314195,seadawy@yahoo.com,http://www.seadawyherbs.com/,2 شارع طه حسين ، جردوا ،  الفيوم ، مصر.  						محافظة الفيوم,الحاصلات الزراعية,1,2025-07-22T04:26:15.447529
3,ايجي بورت للتخليص الجمركي والاستيراد والتصدير,,258_admin@egyptexportgate.com,,شطا - مدينة الأثاث - قطعة رقم 1 ، 2 ، 51   						محافظة دمياط,الأثاث,1,2025-07-22T04:26:15.448514
4,نورلين للاستيراد وتصدير الكتان ومشتقاته,00201123677791,260@expoegypt.com,http://www.noorlin.com,طنطا – العجيزى – ش عمر بن الخطاب رقم 2  						محافظة الغربية,الغزل والمنسوجات,1,2025-07-22T04:26:15.449502
5,اي بي سي,,268_admin@egyptexportgate.com,,دمياط – مول الواحة     						محافظة دمياط,الصناعات الغذائية,1,2025-07-22T04:26:15.450427
6,النور للأثاث,,269_admin@egyptexportgate.com,,دمياط -البصارطة - بجوار مدرسة الشهيد رضوان   						محافظة دمياط,الأثاث,1,2025-07-22T04:26:15.451340
7,طنطا للزيوت والصابون,0020403291225,280@expoegypt.com,https://tantaoilsoapwater.site123.me/,15- ش الشهيد مصطفى ابو زهره  						محافظة الغربية,الصناعات الغذائية,1,2025-07-22T04:26:15.452539
8,أعلاف الإيطالية,01062283456 - 01229751425 - 01115292555,,,شارع أحمد عرابي - التل الكبير - الإسماعيلية  						محافظة الإسماعيلية,الصناعات الكيماوية والأسمدة,1,2025-07-22T04:26:15.454369
9,الكترو بلاست,,info@electroplast.net,http://www.electroplast.net/,محافظة السويس,الأثاث,1,2025-07-22T04:26:15.456860
10,جرين فارم للحاصلات الزراعية,0020403328482,greenfarminternational@yahoo.com
,http://www.greenfarmegypt.com,211 ش الجيش - برج العين طنطا  						محافظة الغربية,الحاصلات الزراعية,1,2025-07-22T04:26:15.459419
11,فيلادلفيا,1277385738,Osamalawyer2010@yahoo.com,http://www.ــــــــــــ,بنى خالد- ملوى - المنيا  						محافظة المنيا,الأثاث,2,2025-07-22T04:26:18.069887
12,مكة للاسبيداج,1223240656,carbon.macca@yahoo.com,http://www.ــــــــــــ,14 شارع الازهر - ارض سلطان - المنيا  						محافظة المنيا,الصناعات الكيماوية والأسمدة,2,2025-07-22T04:26:18.070574
13,وحدة الدعم الفنى للمرأة,1007892271,lamiaa_mahmoud@yahoo.com,http://www.ــــــــــــ,شارع الجلاء-المنيا  						محافظة المنيا,الصناعات اليدوية,2,2025-07-22T04:26:18.071244
