الرقم,اسم الشركة,الهاتف,الإيميل,الموقع,العنوان,القطاع,رقم الصفحة
1,الدلتا للإستيراد والتصدير,,eldeltams@gmail.com,	www.eldeltams.com,شارع التحرير - أبو جنشو - إبشواي  						محافظة الفيوم,الأثاث,1
2,السعداوي للإستيراد والتصدير,0846314195,seadawy@yahoo.com,http://www.seadawyherbs.com/,2 شارع طه حسين ، جردوا ،  الفيوم ، مصر.  						محافظة الفيوم,الحاصلات الزراعية,1
3,ايجي بورت للتخليص الجمركي والاستيراد والتصدير,,258_admin@egyptexportgate.com,,شطا - مدينة الأثاث - قطعة رقم 1 ، 2 ، 51   						محافظة دمياط,الأثاث,1
4,نورلين للاستيراد وتصدير الكتان ومشتقاته,00201123677791,260@expoegypt.com,http://www.noorlin.com,طنطا – العجيزى – ش عمر بن الخطاب رقم 2  						محافظة الغربية,الغزل والمنسوجات,1
5,اي بي سي,,268_admin@egyptexportgate.com,,دمياط – مول الواحة     						محافظة دمياط,الصناعات الغذائية,1
6,النور للأثاث,,269_admin@egyptexportgate.com,,دمياط -البصارطة - بجوار مدرسة الشهيد رضوان   						محافظة دمياط,الأثاث,1
7,طنطا للزيوت والصابون,0020403291225,280@expoegypt.com,https://tantaoilsoapwater.site123.me/,15- ش الشهيد مصطفى ابو زهره  						محافظة الغربية,الصناعات الغذائية,1
8,أعلاف الإيطالية,01062283456 - 01229751425 - 01115292555,,,شارع أحمد عرابي - التل الكبير - الإسماعيلية  						محافظة الإسماعيلية,الصناعات الكيماوية والأسمدة,1
9,الكترو بلاست,,info@electroplast.net,http://www.electroplast.net/,محافظة السويس,الأثاث,1
10,جرين فارم للحاصلات الزراعية,0020403328482,greenfarminternational@yahoo.com
,http://www.greenfarmegypt.com,211 ش الجيش - برج العين طنطا  						محافظة الغربية,الحاصلات الزراعية,1
11,فيلادلفيا,1277385738,Osamalawyer2010@yahoo.com,http://www.ــــــــــــ,بنى خالد- ملوى - المنيا  						محافظة المنيا,الأثاث,2
12,مكة للاسبيداج,1223240656,carbon.macca@yahoo.com,http://www.ــــــــــــ,14 شارع الازهر - ارض سلطان - المنيا  						محافظة المنيا,الصناعات الكيماوية والأسمدة,2
13,وحدة الدعم الفنى للمرأة,1007892271,lamiaa_mahmoud@yahoo.com,http://www.ــــــــــــ,شارع الجلاء-المنيا  						محافظة المنيا,الصناعات اليدوية,2
14,الإسماعيلية للإستيراد والتصدير,064-3403849 - 064-3403852 - 064-3400275,isma_co2003@hotmail.com,,الإسماعيلية – مركز فايد  						محافظة الإسماعيلية,الحاصلات الزراعية,2
15,المينا فودز للصناعات الغذائية,0020403217000,314@expoegypt.com,http://www.minafood.net,الكيلو 82 طريق القاهره الاسكندريه الزراعى – دفره – طنطا   						محافظة الغربية,الصناعات الغذائية,2
16,المنارة للاستيراد والتصدير,0020403338284,315@expoegypt.com,,14ش ابو بكر الصديق – طنطا – الغربية  						محافظة الغربية,الحاصلات الزراعية,2
17,اس كيو ال شيبنج,01004033809,magdy.nofal@sqleg.com,http://www.sqleg.com,,الأثاث,2
18,الدلتا للغزل والنسيج,0020403556110- 0020403556095- 49,318@expoegypt.com,http://www.deltatex.com,6 ش الجلاء طنطا  						محافظة الغربية,الغزل والمنسوجات,2
19,منصور للنسيج,0020402246515,321@expoegypt.com,,ش نعمان الاعصر امام المعهد الدينى المحلة الكبرى  						محافظة الغربية,الغزل والمنسوجات,2
20,ثمرات للاستيراد والتصدير,01282383783,323@expoegypt.com,http://www.thamaraat.com,طنطا  						محافظة الغربية,الحاصلات الزراعية,2
21,طنطا موتورز للميكنة الزراعية,0020402222701,325@expoegypt.com,http://www.tantamotors.com,طنطا ش المديرية  						محافظة الغربية,الصناعات الهندسية,3
22,ايجي مينيرالز,,839_admin@egyptexportgate.com,http://www.egyminerals.com/,دمياط الجديدة- الحى الثاني  						محافظة دمياط,الصناعات الغذائية,3
23,جرين دايموند للأستيراد والتصدير,0201010100104,export@greendiamond.net,,11ش احمد شاهين من ش النادى – طنطا  						محافظة الغربية,الحاصلات الزراعية,3
24,ايه-اتش-ام انترناشونال للإستيراد والتصدير,,333_admin@egyptexportgate.com,,كفر البطيخ - الركابية  						محافظة دمياط,الأثاث,3
25,الشركة المصرية للمفروشات (النجار ),0020402381599 - 0020402890099,337@expoegypt.com,http://www.eigtex.com/,طريق المحلة – المنصوره الزارعى – ك9  						محافظة الغربية,الغزل والمنسوجات,3
26,مضارب الغربية,0020402381949,345@expoegypt.com,,ش 23 يوليو – عمارة التامين   						محافظة الغربية,الصناعات الغذائية,3
